2022-11-26 05:10:31,787 INFO     Search BICs for /tmp/JacksonXml-3b/
2022-11-26 05:10:50,440 DEBUG                  - depth 8, hash 320d5fb, HEAD~423
2022-11-26 05:10:50,446 DEBUG                  - depth 9, hash 09f05a5, HEAD~439
2022-11-26 05:10:50,461 DEBUG                  - depth 10, hash 41628fa, HEAD~441
2022-11-26 05:10:50,472 DEBUG                  - depth 11, hash c95b94a, HEAD~443
2022-11-26 05:10:50,476 DEBUG                  - depth 12, hash 901c8f9, HEAD~444
2022-11-26 05:10:50,481 DEBUG                  - depth 13, hash 34beb47, HEAD~472
2022-11-26 05:10:50,491 DEBUG                  - depth 14, hash ac97422, HEAD~596
2022-11-26 05:10:50,496 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java <clinit> 452:588
2022-11-26 05:10:50,559 DEBUG                  - depth 0, hash 7749b6f, HEAD~15
2022-11-26 05:10:50,566 DEBUG                  - depth 1, hash 2d7683e, HEAD~47
2022-11-26 05:10:50,580 DEBUG                  - depth 2, hash 3502de0, HEAD~66
2022-11-26 05:10:50,587 DEBUG                  - depth 3, hash ac88d66, HEAD~163
2022-11-26 05:10:50,592 DEBUG                  - depth 4, hash 5aba567, HEAD~166
2022-11-26 05:10:50,596 DEBUG                  - depth 5, hash 3bb8b8a, HEAD~413
2022-11-26 05:10:50,612 DEBUG                  - depth 6, hash 9d3997c, HEAD~419
2022-11-26 05:10:50,620 DEBUG                  - depth 7, hash fc00809, HEAD~422
2022-11-26 05:10:50,624 DEBUG                  - depth 8, hash 320d5fb, HEAD~423
2022-11-26 05:10:50,628 DEBUG                  - depth 9, hash 09f05a5, HEAD~439
2022-11-26 05:10:50,643 DEBUG                  - depth 10, hash 41628fa, HEAD~441
2022-11-26 05:10:50,650 DEBUG                  - depth 11, hash c95b94a, HEAD~443
2022-11-26 05:10:50,656 DEBUG                  - depth 12, hash 901c8f9, HEAD~444
2022-11-26 05:10:50,663 DEBUG                  - depth 13, hash 34beb47, HEAD~472
2022-11-26 05:10:50,696 DEBUG                  - depth 14, hash ac97422, HEAD~596
2022-11-26 05:10:50,713 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java collectDefaults 46:55
2022-11-26 05:10:50,763 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:52,275 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlReadContext.java <init> 48:48
2022-11-26 05:10:52,314 DEBUG                  - depth 0, hash 7088e03, HEAD~451
2022-11-26 05:10:52,330 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlReadContext.java createChildObjectContext 97:106
2022-11-26 05:10:52,347 DEBUG                  - depth 0, hash 7088e03, HEAD~451
2022-11-26 05:10:52,351 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlReadContext.java createRootContext 78:80
2022-11-26 05:10:52,366 DEBUG                  - depth 0, hash faa84af, HEAD~189
2022-11-26 05:10:52,373 DEBUG                  - depth 1, hash 7088e03, HEAD~451
2022-11-26 05:10:52,377 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlReadContext.java getCurrentName 114:115
2022-11-26 05:10:52,406 DEBUG                  - depth 0, hash 7088e03, HEAD~451
2022-11-26 05:10:52,413 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlReadContext.java setCurrentName 130:132
2022-11-26 05:10:52,435 DEBUG                  - depth 0, hash faa84af, HEAD~189
2022-11-26 05:10:52,443 DEBUG                  - depth 1, hash 709ec2e, HEAD~431
2022-11-26 05:10:53,542 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java <init> 62:62
2022-11-26 05:10:53,562 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:53,567 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java _next 303:348
2022-11-26 05:10:53,585 DEBUG                  - depth 0, hash 09f05a5, HEAD~439
2022-11-26 05:10:53,590 DEBUG                  - depth 1, hash 41628fa, HEAD~441
2022-11-26 05:10:53,592 DEBUG                  - depth 2, hash 9b51833, HEAD~550
2022-11-26 05:10:53,595 DEBUG                  - depth 3, hash ac97422, HEAD~596
2022-11-26 05:10:53,598 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java getLocalName 180:180
2022-11-26 05:10:53,616 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:53,621 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java getText 179:179
2022-11-26 05:10:53,638 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:53,643 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java next 156:167
2022-11-26 05:10:53,664 DEBUG                  - depth 0, hash 2dfbd8c, HEAD~417
2022-11-26 05:10:53,668 DEBUG                  - depth 1, hash 320d5fb, HEAD~423
2022-11-26 05:10:53,671 DEBUG                  - depth 2, hash d3dae68, HEAD~425
2022-11-26 05:10:53,674 DEBUG                  - depth 3, hash 09f05a5, HEAD~439
2022-11-26 05:10:53,678 DEBUG                  - depth 4, hash 41628fa, HEAD~441
2022-11-26 05:10:53,684 DEBUG                  - depth 5, hash ac97422, HEAD~596
2022-11-26 05:10:55,150 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <clinit> 42
2022-11-26 05:10:55,177 DEBUG                  - depth 0, hash 662d9d4, HEAD~125
2022-11-26 05:10:55,182 DEBUG                  - depth 1, hash ac97422, HEAD~596
2022-11-26 05:10:55,185 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <clinit> 48
2022-11-26 05:10:55,209 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:55,215 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <clinit> 59
2022-11-26 05:10:55,240 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:55,245 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java <init> 80:83
2022-11-26 05:10:55,273 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:55,277 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java collectDefaults 69:78
2022-11-26 05:10:55,301 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:55,305 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java enabledByDefault 85:85
2022-11-26 05:10:55,337 DEBUG                  - depth 0, hash 662d9d4, HEAD~125
2022-11-26 05:10:55,347 DEBUG                  - depth 1, hash ac97422, HEAD~596
2022-11-26 05:10:55,364 INFO     The number of BIC candidates: 34
